task,total_score,total_gpt4_score,relative_score
Portuguese_new,346,446,77.57847533632287
trans_jp,243,276,88.04347826086956
trans_hu,253,357,70.86834733893558
trans_kor,209,308,67.85714285714286
trans_bel,175,295,59.32203389830508
trans_lit,191,309,61.81229773462783
Spanish_new,321,432,74.30555555555556
German_new,313,414,75.60386473429952
trans_ara,187,278,67.26618705035972
trans_vie,300,345,86.95652173913044
trans_tuk,128,184,69.56521739130434
trans_cs,272,380,71.57894736842105
French_new,316,424,74.52830188679245
trans_est,202,361,55.95567867036011
trans_ukr,232,312,74.35897435897436
trans_hrv,228,312,73.07692307692307
trans_ru,311,298,104.36241610738254
trans_rom,291,385,75.58441558441558
trans_lav,167,286,58.39160839160839
trans_srp,138,325,42.46153846153846
trans_th,206,333,61.86186186186187
